"V1"	"V2"
"Kolya (1996)"	3.99145299145
"L.A. Confidential (1997)"	4.16161616162
"Heavyweights (1994)"	2.15384615385
"Legends of the Fall (1994)"	3.45679012346
"Jackie Brown (1997)"	3.64285714286
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"	4.25257731959
"Hunt for Red October, The (1990)"	3.86343612335
"Jungle Book, The (1994)"	3.56470588235
"Grease (1978)"	3.34705882353
"Remains of the Day, The (1993)"	3.94
"Men in Black (1997)"	3.74587458746
"Romy and Michele's High School Reunion (1997)"	3.0612244898
"Star Trek: First Contact (1996)"	3.6602739726
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"	2.89473684211
"Batman Forever (1995)"	2.66666666667
"Only You (1994)"	3.15384615385
"Age of Innocence, The (1993)"	3.38461538462
"Sabrina (1995)"	3.5
"Just Cause (1995)"	3.14285714286
"Endless Summer 2, The (1994)"	2.5
"Man Without a Face, The (1993)"	3.54411764706
"Sabrina (1954)"	3.796875
"Die Hard (1988)"	3.87242798354
"Twister (1996)"	3.21501706485
"Toy Story (1995)"	3.87831858407
"Broken Arrow (1996)"	3.03149606299
"Aladdin (1992)"	3.81278538813
"Casper (1995)"	3.07692307692
"Restoration (1995)"	3.46478873239
"Jaws (1975)"	3.775
"Chasing Amy (1997)"	3.83905013193
"Silence of the Lambs, The (1991)"	4.28974358974
"Right Stuff, The (1983)"	3.91719745223
"Sleepless in Seattle (1993)"	3.53990610329
"Sting, The (1973)"	4.05809128631
"Curdled (1996)"	2.75
"Rear Window (1954)"	4.38755980861
"Speechless (1994)"	3.08333333333
"Crumb (1994)"	3.79012345679
"French Twist (Gazon maudit) (1995)"	3.20512820513
"Fly Away Home (1996)"	3.6
"Trigger Effect, The (1996)"	3.2
"Tales from the Hood (1995)"	2.03703703704
"Cop Land (1997)"	3.37714285714
"Evil Dead II (1987)"	3.51685393258
"Beautiful Thing (1996)"	3.96551724138
"Last of the Mohicans, The (1992)"	3.546875
"Get Shorty (1995)"	3.55023923445
"Kiss the Girls (1997)"	3.46153846154
"Fargo (1996)"	4.15551181102
"Fantasia (1940)"	3.77011494253
"Murder at 1600 (1997)"	3.0871559633
"Return of the Jedi (1983)"	4.00788954635
"Dead Poets Society (1989)"	3.91633466135
"Conan the Barbarian (1981)"	3.04672897196
"Naked Gun 33 1/3: The Final Insult (1994)"	2.78260869565
"Sound of Music, The (1965)"	3.76576576577
"E.T. the Extra-Terrestrial (1982)"	3.83333333333
"Boot, Das (1981)"	4.2039800995
"Angels and Insects (1995)"	3.41666666667
"Scream (1996)"	3.44142259414
"Nightmare on Elm Street, A (1984)"	3.17117117117
"Ben-Hur (1959)"	3.83064516129
"City of Lost Children, The (1995)"	3.79166666667
"Brothers McMullen, The (1995)"	3.45205479452
"Young Guns (1988)"	3.20792079208
"To Kill a Mockingbird (1962)"	4.29223744292
"Wings of Desire (1987)"	4
"Mr. Holland's Opus (1995)"	3.77815699659
"House Arrest (1996)"	2.52
"Old Yeller (1957)"	3.484375
"Jean de Florette (1986)"	4.109375
"Seven Years in Tibet (1997)"	3.45806451613
"Grosse Pointe Blank (1997)"	3.675
"That Darn Cat! (1965)"	2.47368421053
"Copycat (1995)"	3.3023255814
"Star Trek III: The Search for Spock (1984)"	3.11111111111
"Jerry Maguire (1996)"	3.7109375
"North by Northwest (1959)"	4.28491620112
"Outbreak (1995)"	3.24038461538
"Dangerous Minds (1995)"	3.34042553191
"Miller's Crossing (1990)"	3.65168539326
"Batman (1989)"	3.42786069652
"Truth About Cats & Dogs, The (1996)"	3.48529411765
"Sword in the Stone, The (1963)"	3.32926829268
"Bean (1997)"	2.65934065934
"Birdcage, The (1996)"	3.44368600683
"Con Air (1997)"	3.4598540146
"Monty Python's Life of Brian (1979)"	3.74712643678
"Sense and Sensibility (1995)"	4.01119402985
"Backbeat (1993)"	3.47368421053
"African Queen, The (1951)"	4.18421052632
"Adventures of Priscilla, Queen of the Desert, The (1994)"	3.59459459459
"This Is Spinal Tap (1984)"	3.9057591623
"Taxi Driver (1976)"	4.12087912088
"Liar Liar (1997)"	3.15670103093
"Young Frankenstein (1974)"	3.945
"Executive Decision (1996)"	3.35668789809
"Conspiracy Theory (1997)"	3.42372881356
"It's a Wonderful Life (1946)"	4.12121212121
"Wizard of Oz, The (1939)"	4.07723577236
"Raiders of the Lost Ark (1981)"	4.25238095238
"Terminator 2: Judgment Day (1991)"	4.00677966102
"Willy Wonka and the Chocolate Factory (1971)"	3.63190184049
"Devil's Advocate, The (1997)"	3.51595744681
"Quiet Man, The (1952)"	4.02985074627
"Muppet Treasure Island (1996)"	2.7619047619
"Bogus (1996)"	2.54545454545
"Annie Hall (1977)"	3.91111111111
"Swimming with Sharks (1995)"	3.57446808511
"My Fair Lady (1964)"	3.816
"In the Name of the Father (1993)"	3.91176470588
"Terminator, The (1984)"	3.93355481728
"Shining, The (1980)"	3.82524271845
"True Lies (1994)"	3.5625
"Amistad (1997)"	3.85483870968
"Mimic (1997)"	2.74257425743
"Devil's Own, The (1997)"	3.10833333333
"2001: A Space Odyssey (1968)"	3.96911196911
"My Family (1995)"	3.66666666667
"Courage Under Fire (1996)"	3.61085972851
"Pump Up the Volume (1990)"	3.41772151899
"Homeward Bound: The Incredible Journey (1993)"	3.2131147541
"Tales From the Crypt Presents: Demon Knight (1995)"	2.97674418605
"One Fine Day (1996)"	3.23214285714
"Vertigo (1958)"	4.25139664804
"Bio-Dome (1996)"	1.90322580645
"Blue Sky (1994)"	3.41666666667
"Get on the Bus (1996)"	3.31578947368
"Ninotchka (1939)"	3.76923076923
"Good Will Hunting (1997)"	4.26262626263
"Father of the Bride Part II (1995)"	2.8984375
"Roommates (1995)"	3.23076923077
"Postino, Il (1994)"	3.96721311475
"Before Sunrise (1995)"	3.40816326531
"Mary Poppins (1964)"	3.72471910112
"Mission: Impossible (1996)"	3.31395348837
"Bonnie and Clyde (1967)"	3.81967213115
"Red Rock West (1992)"	3.59615384615
"Rock, The (1996)"	3.69312169312
"Heat (1995)"	3.56950672646
"Interview with the Vampire (1994)"	3.18248175182
"It Could Happen to You (1994)"	3.65217391304
"Dante's Peak (1997)"	2.93333333333
