"V1"	"V2"
"Toy Story (1995)"	"animation"
"Toy Story (1995)"	"children"
"Toy Story (1995)"	"comedy"
"GoldenEye (1995)"	"action"
"GoldenEye (1995)"	"adventure"
"GoldenEye (1995)"	"thriller"
"Four Rooms (1995)"	"thriller"
"Get Shorty (1995)"	"action"
"Get Shorty (1995)"	"comedy"
"Get Shorty (1995)"	"drama"
"Copycat (1995)"	"crime"
"Copycat (1995)"	"drama"
"Copycat (1995)"	"thriller"
"Shanghai Triad  (1995)"	"drama"
"Twelve Monkeys (1995)"	"drama"
"Twelve Monkeys (1995)"	"sci-fi"
"Babe (1995)"	"children"
"Babe (1995)"	"comedy"
"Babe (1995)"	"drama"
"Dead Man Walking (1995)"	"drama"
"Richard III (1995)"	"drama"
"Richard III (1995)"	"war"
"Seven (Se7en) (1995)"	"crime"
"Seven (Se7en) (1995)"	"thriller"
"Usual Suspects, The (1995)"	"crime"
"Usual Suspects, The (1995)"	"thriller"
"Mighty Aphrodite (1995)"	"comedy"
"Postino, Il (1994)"	"drama"
"Postino, Il (1994)"	"romance"
"Mr. Holland's Opus (1995)"	"drama"
"French Twist  (1995)"	"comedy"
"French Twist  (1995)"	"romance"
"From Dusk Till Dawn (1996)"	"action"
"From Dusk Till Dawn (1996)"	"comedy"
"From Dusk Till Dawn (1996)"	"crime"
"From Dusk Till Dawn (1996)"	"horror"
"From Dusk Till Dawn (1996)"	"thriller"
"White Balloon, The (1995)"	"drama"
"Antonia's Line (1995)"	"drama"
"Angels and Insects (1995)"	"drama"
"Angels and Insects (1995)"	"romance"
"Muppet Treasure Island (1996)"	"action"
"Muppet Treasure Island (1996)"	"adventure"
"Muppet Treasure Island (1996)"	"comedy"
"Muppet Treasure Island (1996)"	"musical"
"Muppet Treasure Island (1996)"	"thriller"
"Braveheart (1995)"	"action"
"Braveheart (1995)"	"drama"
"Braveheart (1995)"	"war"
"Taxi Driver (1976)"	"drama"
"Taxi Driver (1976)"	"thriller"
"Rumble in the Bronx (1995)"	"action"
"Rumble in the Bronx (1995)"	"adventure"
"Rumble in the Bronx (1995)"	"crime"
"Birdcage, The (1996)"	"comedy"
"Brothers McMullen, The (1995)"	"comedy"
"Bad Boys (1995)"	"action"
"Apollo 13 (1995)"	"action"
"Apollo 13 (1995)"	"drama"
"Apollo 13 (1995)"	"thriller"
"Batman Forever (1995)"	"action"
"Batman Forever (1995)"	"adventure"
"Batman Forever (1995)"	"comedy"
"Batman Forever (1995)"	"crime"
"Belle de jour (1967)"	"drama"
"Crimson Tide (1995)"	"drama"
"Crimson Tide (1995)"	"thriller"
"Crimson Tide (1995)"	"war"
"Crumb (1994)"	"documentary"
"Desperado (1995)"	"action"
"Desperado (1995)"	"romance"
"Desperado (1995)"	"thriller"
"Doom Generation, The (1995)"	"comedy"
"Doom Generation, The (1995)"	"drama"
"Free Willy 2: The Adventure Home (1995)"	"adventure"
"Free Willy 2: The Adventure Home (1995)"	"children"
"Free Willy 2: The Adventure Home (1995)"	"drama"
"Mad Love (1995)"	"drama"
"Mad Love (1995)"	"romance"
"Nadja (1994)"	"drama"
"Net, The (1995)"	"sci-fi"
"Net, The (1995)"	"thriller"
"Strange Days (1995)"	"action"
"Strange Days (1995)"	"crime"
"Strange Days (1995)"	"sci-fi"
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"	"comedy"
"Billy Madison (1995)"	"comedy"
"Clerks (1994)"	"comedy"
"Disclosure (1994)"	"drama"
"Disclosure (1994)"	"thriller"
"Dolores Claiborne (1994)"	"drama"
"Dolores Claiborne (1994)"	"thriller"
"Eat Drink Man Woman (1994)"	"comedy"
"Eat Drink Man Woman (1994)"	"drama"
"Exotica (1994)"	"drama"
"Ed Wood (1994)"	"comedy"
"Ed Wood (1994)"	"drama"
"Hoop Dreams (1994)"	"documentary"
"I.Q. (1994)"	"comedy"
"I.Q. (1994)"	"romance"
"Star Wars (1977)"	"action"
"Star Wars (1977)"	"adventure"
"Star Wars (1977)"	"romance"
"Star Wars (1977)"	"sci-fi"
"Star Wars (1977)"	"war"
"Legends of the Fall (1994)"	"drama"
"Legends of the Fall (1994)"	"romance"
"Legends of the Fall (1994)"	"war"
"Legends of the Fall (1994)"	"western"
"Madness of King George, The (1994)"	"drama"
"Natural Born Killers (1994)"	"action"
"Natural Born Killers (1994)"	"thriller"
"Outbreak (1995)"	"action"
"Outbreak (1995)"	"drama"
"Outbreak (1995)"	"thriller"
"Professional, The (1994)"	"crime"
"Professional, The (1994)"	"drama"
"Professional, The (1994)"	"romance"
"Professional, The (1994)"	"thriller"
"Pulp Fiction (1994)"	"crime"
"Pulp Fiction (1994)"	"drama"
"Priest (1994)"	"drama"
"Quiz Show (1994)"	"drama"
"Three Colors: Red (1994)"	"drama"
"Three Colors: Blue (1993)"	"drama"
"Three Colors: White (1994)"	"drama"
"Stargate (1994)"	"action"
"Stargate (1994)"	"adventure"
"Stargate (1994)"	"sci-fi"
"Santa Clause, The (1994)"	"children"
"Santa Clause, The (1994)"	"comedy"
"Shawshank Redemption, The (1994)"	"drama"
"What's Eating Gilbert Grape (1993)"	"comedy"
"What's Eating Gilbert Grape (1993)"	"drama"
"While You Were Sleeping (1995)"	"comedy"
"While You Were Sleeping (1995)"	"romance"
"Ace Ventura: Pet Detective (1994)"	"comedy"
"Crow, The (1994)"	"action"
"Crow, The (1994)"	"romance"
"Crow, The (1994)"	"thriller"
"Forrest Gump (1994)"	"comedy"
"Forrest Gump (1994)"	"romance"
"Forrest Gump (1994)"	"war"
"Four Weddings and a Funeral (1994)"	"comedy"
"Four Weddings and a Funeral (1994)"	"romance"
"Lion King, The (1994)"	"animation"
"Lion King, The (1994)"	"children"
"Lion King, The (1994)"	"musical"
"Mask, The (1994)"	"comedy"
"Mask, The (1994)"	"crime"
"Mask, The (1994)"	"fantasy"
"Maverick (1994)"	"action"
"Maverick (1994)"	"comedy"
"Maverick (1994)"	"western"
"Faster Pussycat! Kill! Kill! (1965)"	"action"
"Faster Pussycat! Kill! Kill! (1965)"	"comedy"
"Faster Pussycat! Kill! Kill! (1965)"	"drama"
"Brother Minister: The Assassination of Malcolm X (1994)"	"documentary"
"Carlito's Way (1993)"	"crime"
"Carlito's Way (1993)"	"drama"
"Firm, The (1993)"	"drama"
"Firm, The (1993)"	"thriller"
"Free Willy (1993)"	"adventure"
"Free Willy (1993)"	"children"
"Free Willy (1993)"	"drama"
"Fugitive, The (1993)"	"action"
